ID,Year_Birth,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Absurd,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Marital_Status_YOLO,Total_Spending
5524,1957,0.2353267720100873,0,0,2012-09-04,0.3070392634922745,0.9837812651523128,1.5515769812186038,546,172,88,88,0.349413940993261,1.409303937080072,2.5108902417547814,-0.5507847897348009,7,0,0,0,0,0,0,3,11,1,False,False,True,False,False,False,False,False,False,True,False,False,False,2.535358246370917
2174,1954,-0.2358262368477814,1,1,2014-03-08,-0.383664176349749,-0.8704794810063111,-0.6363011552898765,6,2,1,6,-0.1682363419597184,-1.1104093734576166,-0.5687196185467573,-1.1661254027053516,5,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,True,False,False,False,-1.5067806362961875
4141,1965,0.7736332663597382,0,0,2013-08-21,-0.7980862402549632,0.3627227780575174,0.570804023473423,127,111,21,42,-0.6858866249126978,1.409303937080072,-0.2265407451799197,1.2952370491768512,4,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,0.9335268015309404
6182,1984,-1.0227324576789074,1,0,2014-02-10,-0.7980862402549632,-0.8704794810063111,-0.5608570816171703,20,10,3,5,-0.1682363419597184,-0.7504503290950897,-0.9108984919135952,-0.5507847897348009,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,False,False,True,False,False,-1.4313365626234815
5324,1981,0.2415187947651297,1,0,2014-01-19,1.550305455207917,-0.3890848642151298,0.4199158761280105,118,46,27,15,1.3847145068992197,0.3294268039924911,0.1156381281869179,0.0645558232357498,5,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0308310119128806
7446,1967,0.410101607837896,0,1,2013-09-09,-1.143437960175975,0.642050518664746,0.3947678515704418,98,0,42,14,-0.1682363419597184,0.689385848355018,0.4578170015537556,1.2952370491768512,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,False,False,False,True,False,False,1.036818370235188
965,1971,0.135335591649629,0,1,2012-11-13,-0.5218048643181538,-0.2048474182827024,0.9731724163945228,164,50,49,27,0.8670642239462404,1.049344892717545,0.1156381281869179,0.3722261297210252,6,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,0.7683249981118203
6177,1985,-0.7507628388638853,1,0,2013-05-08,-0.5908752083023561,-0.6773273199481211,-0.4099689342717579,56,3,1,23,-0.1682363419597184,-0.0305322403700358,-0.9108984919135952,-0.5507847897348009,8,0,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,True,False,False,False,False,-1.087296254219879
4855,1974,-0.8747231395664431,1,0,2013-06-06,-1.0398324441996714,-0.8615647658805485,-0.6614491798474453,24,3,3,2,-0.6858866249126978,-0.3904912847325628,-0.9108984919135952,-1.1661254027053516,9,0,0,0,0,0,0,3,11,1,False,False,False,False,True,False,False,False,False,False,True,False,False,-1.523013945727994
5899,1950,-1.8615717725845824,1,1,2014-03-13,0.6523909834132863,-0.8199627619603229,-0.6614491798474453,6,1,1,13,-0.6858866249126978,-1.1104093734576166,-0.9108984919135952,-1.7814660156759023,20,1,0,0,0,0,0,3,11,0,False,False,False,False,True,False,False,False,False,False,True,False,False,-1.4814119418077685
1994,1983,0.0,1,0,2013-11-15,-1.3161138201364808,-0.8883089112578363,-0.5357090570596016,6,0,2,1,-0.6858866249126978,-1.1104093734576166,-0.9108984919135952,-1.1661254027053516,7,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,False,True,False,False,False,False,-1.424017968317438
387,1976,-1.7875870877953015,0,0,2012-11-13,0.3415744354843757,-0.8853373395492488,-0.2590807869263454,11,11,1,16,-0.6858866249126978,-0.7504503290950897,-0.9108984919135952,-0.8584550962200763,8,0,0,0,0,0,0,3,11,0,False,True,False,False,False,False,False,False,True,False,False,False,False,-1.1444181264755942
2125,1959,0.4308748454677156,0,0,2013-11-15,1.1358833913027029,-0.3266818583347915,0.8725803181642479,480,225,112,30,-0.6858866249126978,-0.3904912847325628,0.4578170015537556,0.6798964362063006,2,0,0,0,0,0,0,3,11,0,False,False,True,False,False,False,False,True,False,False,False,False,False,0.5458984598294563
8180,1952,0.2839041892367422,1,1,2013-11-15,0.1343634035317686,-0.2107905616998775,-0.6111531307323078,53,3,5,14,0.349413940993261,0.689385848355018,-0.5687196185467573,-0.2431144832495255,6,0,0,0,0,0,0,3,11,0,False,False,False,True,False,False,False,True,False,False,False,False,False,-0.8219436924321853
